,C. Space,Method,Post.,SEN,SPE,ACC,DIC,JAC
0,HSV,direct_train,w/o,0.8818040192881567,0.9704177461915421,0.9584708233268893,0.7967349522142162,0.6866768229190339
1,HSV,direct_train,CRF,0.858620257452823,0.976300068431385,0.9619753779197225,0.8077948679248192,0.7041247858681632
2,HSV,direct_transfer,w/o,0.8404377276968298,0.9016312320978924,0.8963223982830438,0.6703988310412179,0.5512712750878767
3,HSV,direct_transfer,CRF,0.8203256766173558,0.909751423084856,0.9020314197151029,0.6826757201034043,0.5703789222387529
4,HSV,fine_tune,w/o,0.8672561191878281,0.9755989476863446,0.9608658848976601,0.8054643108820672,0.6987660002830121
5,HSV,fine_tune,CRF,0.8473918261236333,0.9805456872740823,0.9637994182353117,0.8146994813638218,0.7132542768745089
6,LAB,direct_train,w/o,0.8900877129749347,0.9716602394662057,0.9615976995351364,0.8185955999475631,0.7160502198709551
7,LAB,direct_train,CRF,0.8434669006873289,0.9768514347488869,0.9632452594990634,0.8149109641675544,0.7137467406551029
8,LAB,direct_transfer,w/o,0.8378405030944845,0.8816025704556841,0.8770556547203843,0.6518109419182034,0.537274725215591
9,LAB,direct_transfer,CRF,0.7827369935512462,0.8868178392703532,0.8784988481171278,0.6349754456847554,0.5269048917409043
10,LAB,fine_tune,w/o,0.8826907222488314,0.9747748805125646,0.9638798304966519,0.8266630298560166,0.7265629203490581
11,LAB,fine_tune,CRF,0.8309996587261036,0.9793774793258783,0.9648955442467514,0.8134799155619437,0.714081421423102
12,RGB,direct_train,w/o,0.8914097120922723,0.9716230323695563,0.9612706709881218,0.8167840251176136,0.7143362391871844
13,RGB,direct_train,CRF,0.8708292201355153,0.9763603950104859,0.9639418777154416,0.8241734456661455,0.7262511943521863
14,RGB,direct_transfer,w/o,0.8174875270828276,0.8983848477369673,0.8897419365084902,0.6515848492681251,0.5380517692194078
15,RGB,direct_transfer,CRF,0.7950749740416692,0.905058702950094,0.8941255608383492,0.6577210222133316,0.5513728371434985
16,RGB,fine_tune,w/o,0.889014178872164,0.9748746990776181,0.9638945326513174,0.8251910757231744,0.7248348041985239
17,RGB,fine_tune,CRF,0.8692278548740968,0.9794132629272443,0.9665089042819276,0.8322585195129236,0.7359166166890074
18,RGB-HSV,direct_train,w/o,0.8778237617204192,0.9747453113936949,0.9626709529331754,0.8168403584248562,0.7132826380636486
19,RGB-HSV,direct_train,CRF,0.8529505417803493,0.9797272013538108,0.9653526384003308,0.8228634977246176,0.7240063831818648
20,RGB-HSV,direct_transfer,w/o,0.8315755142065333,0.8930635963780794,0.8882560496427576,0.6599457603127653,0.5438527443996752
21,RGB-HSV,direct_transfer,CRF,0.809508338455387,0.8997652732024948,0.8927291403011399,0.6668319598983643,0.5578504153663737
22,RGB-LAB,direct_train,w/o,0.887703946526404,0.9730920756700618,0.9625992210543887,0.8218050160645166,0.7198230476097709
23,RGB-LAB,direct_train,CRF,0.8640333014897564,0.9779106731005601,0.9652411791743065,0.8283138313145189,0.7316757335176475
24,RGB-LAB,direct_transfer,w/o,0.8300710741773629,0.8873525337263931,0.8811314174107142,0.6488655072154123,0.534589879850703
25,RGB-LAB,direct_transfer,CRF,0.8074532858887944,0.8933862907913228,0.8849170529112523,0.6567105257902377,0.5500106929722162
26,RGB-LAB,fine_tune,w/o,0.8916555943754687,0.9722952861946194,0.9627210578139946,0.8204734842829611,0.7196151283089618
27,RGB-LAB,fine_tune,CRF,0.8712575958312403,0.9769612061698,0.9654789438053053,0.8268529196768961,0.7310403406656334
